"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.09.2019","218,75","220,00","220,79","217,02","39,76M","-1,95%"
"12.09.2019","223,09","224,80","226,42","222,86","32,23M","-0,22%"
"11.09.2019","223,59","218,07","223,71","217,73","44,29M","3,18%"
"10.09.2019","216,70","213,86","216,78","211,71","31,78M","1,18%"
"09.09.2019","214,17","214,84","216,44","211,07","27,31M","0,43%"
"06.09.2019","213,26","214,05","214,42","212,51","19,36M","-0,01%"
"05.09.2019","213,28","212,00","213,97","211,51","23,95M","1,96%"
"04.09.2019","209,19","208,39","209,48","207,32","19,22M","1,70%"
"03.09.2019","205,70","206,43","206,98","204,22","20,06M","-1,46%"
"30.08.2019","208,74","210,16","210,45","207,20","21,16M","-0,13%"
"29.08.2019","209,01","208,50","209,32","206,66","21,01M","1,69%"
"28.08.2019","205,53","204,10","205,72","203,32","15,96M","0,67%"
"27.08.2019","204,16","207,86","208,55","203,53","25,90M","-1,13%"
"26.08.2019","206,49","205,86","207,19","205,06","26,07M","1,90%"
"23.08.2019","202,64","209,43","212,05","201,00","46,88M","-4,62%"
"22.08.2019","212,46","213,19","214,44","210,75","22,27M","-0,08%"
"21.08.2019","212,64","212,99","213,65","211,60","21,56M","1,08%"
"20.08.2019","210,36","210,88","213,35","210,32","26,92M","0,00%"
"19.08.2019","210,35","210,62","212,73","210,03","24,43M","1,86%"
"16.08.2019","206,50","204,28","207,16","203,84","28,81M","2,36%"
"15.08.2019","201,74","203,46","205,14","199,67","27,88M","-0,50%"
"14.08.2019","202,75","203,16","206,44","202,59","36,55M","-2,98%"
"13.08.2019","208,97","201,02","212,14","200,83","47,54M","4,23%"
"12.08.2019","200,48","199,62","202,05","199,15","22,48M","-0,25%"
"09.08.2019","200,99","201,30","202,76","199,29","24,62M","-1,20%"
"08.08.2019","203,43","200,20","203,53","199,39","27,01M","2,21%"
"07.08.2019","199,04","195,41","199,56","193,82","33,36M","1,04%"
"06.08.2019","197,00","196,31","198,07","194,04","35,82M","1,89%"
"05.08.2019","193,34","197,99","198,65","192,58","52,39M","-5,23%"
"02.08.2019","204,02","205,53","206,43","201,63","40,86M","-2,12%"
"01.08.2019","208,43","213,90","218,03","206,74","54,02M","-2,16%"
"31.07.2019","213,04","216,42","221,37","211,30","69,28M","2,04%"
"30.07.2019","208,78","208,76","210,16","207,31","33,94M","-0,43%"
"29.07.2019","209,68","208,46","210,64","208,44","21,67M","0,93%"
